date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:57	4255191/4255191	---M--	200	added ('OK')	video/mp4	date:Fri,%2020%20Apr%202018%2012:43:08%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Share-Digital-vCard.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Share-Digital-vCard.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:34:57	44020/44020	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2010:15:33%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/send-whatsapp-without-saving-number.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/send-whatsapp-without-saving-number.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:34:58	2258102/2258102	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2010:26:35%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/send-whatsapp-without-saving-number.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/send-whatsapp-without-saving-number.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:34:59	28785/28785	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2010:49:10%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/lead-contact-form-on-digital-business-vcard.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/lead-contact-form-on-digital-business-vcard.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:34:59	2258102/2258102	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2010:26:35%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/send-whatsapp-without-saving-number.mp4?_=3	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/send-whatsapp-without-saving-number4640.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:00	1838866/1838866	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2010:46:49%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/lead-contact-form-on-digital-business-vcard.mp4?_=4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/lead-contact-form-on-digital-business-vcard3161.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:00	1058522/1058522	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2010:33:03%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Digital-vCard-Click-to-Call-Link.mp4?_=2	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Digital-vCard-Click-to-Call-Linke6f8.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:01	51522/51522	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2011:11:09%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/google-map-navigation-in-digital-vcard.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/google-map-navigation-in-digital-vcard.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:35:01	1838866/1838866	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2010:46:49%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/lead-contact-form-on-digital-business-vcard.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/lead-contact-form-on-digital-business-vcard.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:01	1058522/1058522	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2010:33:03%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Digital-vCard-Click-to-Call-Link.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Digital-vCard-Click-to-Call-Link.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:02	40886/40886	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2011:18:31%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Save-Contact-to-Phone-Digital-vCard.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Save-Contact-to-Phone-Digital-vCard.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:35:07	2110494/2110494	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2011:11:16%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/google-map-navigation-in-digital-vcard.mp4?_=5	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/google-map-navigation-in-digital-vcardb90e.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:07	2110494/2110494	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2011:11:16%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/google-map-navigation-in-digital-vcard.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/google-map-navigation-in-digital-vcard.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:07	1655159/1655159	---M--	200	added ('OK')	video/mp4	date:Sun,%2015%20Apr%202018%2011:18:42%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Save-Contact-to-Phone-Digital-vCard.mp4	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Save-Contact-to-Phone-Digital-vCard.mp4	(from https://makemyvcard.com/digital-business-card-features/)
14:35:08	33786/33786	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2015:35:51%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/click-on-email-link-digtial-vcard.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/click-on-email-link-digtial-vcard.jpg	(from https://makemyvcard.com/digital-business-card-features/)
